Firm CRD,Investments - CD,Investments - Closed-End Funds,Investments - Commercial Paper,Investments - Corporate Debt,Investments - Equities Exchange,Investments - Equities Foreign,Investments - Equities Otc,Investments - ETFs,Investments - ETNs,Investments - Futures Intangibles,Investments - Futures Tangibles,Investments - Hedge Funds,Investments - Money Markets,Investments - Municipal Securities,Investments - Mutual Funds,Investments - Oil and Gas Partnerships,Investments - Options Commodities,Investments - Options Securities,Investments - Private Equity Funds,Investments - Private Placements,Investments - Real Estate Partnerships,Investments - REITs,Investments - UITs,Investments - US Government Securities,Investments - Variable Annuities,Investments - Variable Life,Investments - Venture Capital Funds,Investments - Warrants,Investments - Other Partnerships,Investment Strategies - Active,Investment Strategies - Alternative Investing,Investment Strategies - Builds Portfolios Of ETFS ETNS,Investment Strategies - Builds Portfolios Of Mutual Funds,Investment Strategies - ESG Impact Investing,Investment Strategies - Focus Cash Management,Investment Strategies - Focus Equities Domestic,Investment Strategies - Focus Equities International,Investment Strategies - Focus Fixed Income Taxable,Investment Strategies - Focus Fixed Income Tax Free,Investment Strategies - Long Term Buy,Investment Strategies - Margin Transactions,Investment Strategies - Option Writing,Investment Strategies - Passive,Investment Strategies - Primarily Recommends Particular Type Of Security,Investment Strategies - Proprietary Model For Security Selection,Investment Strategies - Selects Separate Account Managers,Investment Strategies - Short Sales,Investment Strategies - Short Term Buy,Investment Strategies - Socially Responsible Investing,Investment Strategies - Style Growth,Investment Strategies - Style Value,Investment Strategies - Trading,Investment Strategies - Other,Methods of Analysis - Charting,Methods of Analysis - Cyclical,Methods of Analysis - Fundamental,Methods of Analysis - Technical,Methods of Analysis - Other,Research Methods - Company Press Releases,Research Methods - Corporate Rating Services,Research Methods - Financial Publications,Research Methods - Inspection Of Corporate Records,Research Methods - SEC Filings,Research Methods - Third Party Research,Research Methods - Timing Services,Research Methods - Other Information Sources,7B Private Fund Reporting - Yes or No
334697,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,,,,,,,Yes,,,,,Yes,,,,Yes,,,,,,,,,,
336255,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337485,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,Yes,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,
336461,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,
337446,Yes,,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,
336570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,
317215,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,Yes,,Yes,
329438,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,,,
333803,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,Yes,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,
334382,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,
335543,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
336795,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,,,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,
337379,,,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,
333738,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,
337265,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322882,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,Yes,,,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,,,,,,,,Yes,,,,,,,,,
335426,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,
336307,,,,,Yes,,,Yes,Yes,,,,,,Yes,,,Yes,Yes,,,Yes,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,
336431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,
336487,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
336590,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,
336752,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
336847,Yes,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,Yes,,Yes,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,,,,,,Yes,,,Yes,Yes,,,,,,,,,
337373,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
337436,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,Yes,,Yes,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,
336860,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
304965,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,
335636,,,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,
335758,,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,,,,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
337634,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,
334953,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,Yes,,,Yes,Yes,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,,Yes,,,,,,,,,
335085,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,
335098,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,
335477,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,
336414,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,
336511,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
336545,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,
336837,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,Yes,,,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
337257,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,Yes,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
337412,,,,Yes,Yes,Yes,,Yes,,,,Yes,,Yes,Yes,,,Yes,,,,Yes,,,,,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
336409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,
337300,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,,,
334305,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
334915,Yes,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,
336585,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,
336832,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
337558,Yes,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,Yes,,,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
337251,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
336294,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,,,,,,,,,,
337388,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
336490,,Yes,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334529,,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
335661,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,
336337,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
336552,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
336114,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,Yes,Yes,,,,Yes,,,,,,,,,,Yes,
336483,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
336534,,,,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,,,
335179,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,
335388,,,,Yes,Yes,,,Yes,,,,Yes,,,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,
336417,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,Yes,,,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,
336501,,,,Yes,Yes,,,Yes,,,,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,Yes,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,
337280,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,
331722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,
335314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,
335574,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,
335600,Yes,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
335676,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,
335983,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,Yes,,Yes,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,Yes,,,,Yes,,Yes,,Yes,
336201,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,
336228,,,,Yes,Yes,,,Yes,,,,,,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,,Yes,
336444,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,
336522,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,,,,,,
336550,Yes,,Yes,Yes,Yes,,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,
337253,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,
337278,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
323946,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
333704,Yes,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,
335396,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
335766,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,,,Yes,Yes,,,,Yes,Yes,,,,,,,,,,
336302,,,,Yes,Yes,,,Yes,,,,,,,Yes,,Yes,,,,,Yes,,,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,,,,,,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,
336397,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,,Yes,,,Yes,,Yes,,,,,,,,,,
336719,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,Yes,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,
336784,Yes,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
336109,,,,Yes,Yes,Yes,,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,
336305,Yes,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,,,Yes,,Yes,,,Yes,Yes,,,,Yes,Yes,,,,,,,,,,
336578,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,,
336636,,,,Yes,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,Yes,,,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,Yes,,,Yes,,,Yes,,,,Yes,Yes,,Yes,
336637,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,Yes,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,Yes,,,Yes,,,,Yes,Yes,,Yes,
336646,Yes,,,Yes,Yes,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,Yes,,,Yes,,Yes,,,Yes,,,,,,,,,,,
336684,,,,Yes,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,Yes,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,
336725,,,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,Yes,,,Yes,,,Yes,Yes,Yes,,,,,,,,,
336739,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,,,
336797,,,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,
336855,,,,,Yes,,,Yes,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,
335599,,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
335770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,
336179,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
336494,,,Yes,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,
336507,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,,Yes,Yes,,Yes,,,,,,,,,
336663,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,Yes,,,Yes,,,,,Yes,,,,,Yes,,Yes,,,Yes,,,,,,,,,
336703,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
334515,Yes,,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,
